User_type,City ,Tier,Salary,Family_Size,Lifestyle,Rent ,Food,Transport,Entertainment,Other_Exp,Savings
Working Professional,Chennai,Tier 1-Standard,281720,5,Medium,95784.8,49892.4,3622,28172,33806.4,70442.4
Working Professional,Chennai,Tier 1-Standard,232745,1,Medium,51203.9,46221.55,2535,13964.7,34911.75,83908.1
Working Professional,Bangalore,Tier 1-Elite,100671,1,Medium,31208.01,19114.07,4143,14093.94,13087.23,19024.75
Student/Intern,Mumbai,Tier 1-Elite,30813,1,Low,12325.2,5389.43,7595,1540.65,3081.3,881.42
Student/Intern,Kochi,Tier 2,7110,1,Low,1208.7,3279.8,3684,284.4,924.3,-2271.2
Working Professional,Kochi,Tier 2,126022,2,Medium,20163.52,24683.96,3229,10081.76,18903.3,48960.46
Working Professional,Nagpur,Tier 2,283290,1,Medium,33994.8,61490.9,1398,31161.9,39660.6,115583.8
Student/Intern,Surat,Tier 2,27020,1,Low,4323.2,7674.2,4431,540.4,2161.6,7889.6
Working Professional,Hyderabad,Tier 1-Standard,277118,4,Medium,80364.22,46338.88,2860,33254.16,41567.7,72733.04
Student/Intern,Jaipur,Tier 2,14444,1,Low,1444.4,4744.36,2271,866.64,1588.84,3528.76
Student/Intern,Surat,Tier 2,13074,1,Low,1568.88,3307.4,4070,653.7,1961.1,1512.92
Student/Intern,Lucknow,Tier 2,12398,1,Low,1487.76,3859.7,3193,371.94,867.86,2617.74
Student/Intern,Kolkata,Tier 1-Standard,25358,1,Low,5071.6,4789.38,2827,760.74,2535.8,9373.48
Student/Intern,Chandigarh,Tier 1-Standard,30320,1,Low,8186.4,6851.2,4197,2122.4,3335.2,5627.8
Working Professional,Hyderabad,Tier 1-Standard,69177,5,Medium,15218.94,15143.63,2084,5534.16,3458.85,27737.42
Student/Intern,Kolkata,Tier 1-Standard,5272,1,Low,1159.84,2579.92,2384,421.76,369.04,-1642.56
Student/Intern,Bhopal,Tier 2,30223,1,Low,4835.68,5928.99,2660,1208.92,2720.07,12869.34
Student/Intern,Kolkata,Tier 1-Standard,30365,1,Low,7591.25,7465.7,3886,2429.2,2732.85,6260
Working Professional,Gurgaon,Tier 1-Elite,81384,5,Medium,31739.76,13393.76,4368,5696.88,11393.76,14791.84
Student/Intern,Nagpur,Tier 2,21751,1,Low,2392.61,5045.14,2965,1087.55,1087.55,9173.15
Student/Intern,Noida,Tier 1-Standard,25615,1,Low,6916.05,4817.65,2673,512.3,2561.5,8134.5
Working Professional,Delhi,Tier 1-Elite,262173,4,Medium,97004.01,57056.33,10802,15730.38,23595.57,57984.71
Working Professional,Jaipur,Tier 2,277266,5,Medium,41589.9,29726.6,4301,30499.26,16635.96,154513.28
Student/Intern,Indore,Tier 2,19847,1,Low,2381.64,5969.4,2238,992.35,992.35,7273.26
Working Professional,Gurgaon,Tier 1-Elite,187266,3,Medium,82397.04,43198.52,1083,11235.96,18726.6,30624.88
